Sudoku: 0
Case: 0, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 30, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 31, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 32, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 33, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 34, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 35, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 36, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 37, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 38, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 39, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 40, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 41, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 42, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 43, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 44, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 45, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 46, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 47, val: 3, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 48, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 49, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 50, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 51, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 52, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 53, val: 1, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 54, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 55, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 56, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 57, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 58, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 59, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 60, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 61, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 62, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 63, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 64, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 65, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 66, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 67, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 68, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 69, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 70, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 71, val: 5, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 72, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 73, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 74, val: 6, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 75, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
Case: 76, val: 2, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 77, val: 7, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 78, val: 8, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 79, val: 9, n_candidats: 0, candidats: 0 0 0 0 0 0 0 0 0 
Case: 80, val: 0, n_candidats: 9, candidats: 1 2 3 4 5 6 7 8 9 
